chr,intercept,totclen,secondmax,totclen:secondmax
1,-4.14297739722132,9.84492555552214e-08,-1.71410071274836,-1.43253755565564e-06
2,-4.5372382788205,9.56289587414389e-08,-1.44411838367399,-1.45914032061585e-06
3,-4.63277663490574,1.07519314194628e-07,-1.21936133049863,-1.25695987659593e-06
4,-4.818146127889,1.4649549341873e-07,-1.29128277412893,-2.07290798350843e-06
5,-4.57852198524468,1.2412353772233e-07,-1.07234730592823,-1.3006534803696e-06
6,-4.36055796017395,1.16886306990165e-07,-1.5120826501639,-1.1650508628393e-06
7,-4.80469288080861,1.65965664100829e-07,-1.13698237841356,-1.3217387419579e-06
8,-5.55406968112363,1.82672483775382e-07,-0.536991018033717,-1.44124918291731e-06
9,-3.48887359522939,1.52815901819093e-07,-1.29061019359749,-7.80734298747524e-07
10,-4.07618367249736,1.50629966889623e-07,-1.15355288378708,-1.09125098079112e-06
11,-4.41977227970078,1.41481471458739e-07,-1.16834294223767,-7.65778945039247e-07
12,-4.47014890969244,1.44799273173882e-07,-1.41579215868646,-1.00429303258177e-06
13,-4.21384416803991,2.86071688395795e-07,-0.457653431909626,-2.18967686613834e-06
14,-3.63898246179104,2.09318527756959e-07,-0.611627995959295,-1.17486431173537e-06
15,-3.07509482688568,2.34641027982088e-07,-0.139568792430087,-1.1019311356549e-06
16,-3.57304768559983,2.52362072579557e-07,-0.0619935953651721,-1.11076890237984e-06
17,-4.95603147192017,4.18530122354789e-07,-0.201186364507103,-2.0796867656892e-06
18,-4.58074191294299,2.15438262319517e-07,-0.280568382797823,-1.01018818518787e-06
19,-5.23837666046795,4.03230282032708e-07,-0.463742171030464,-1.57333092145612e-06
20,-4.88711677557514,2.80445181671416e-07,-0.62693809833347,-1.16587422486097e-06
21,-3.52159407172012,4.98132221030021e-07,0.241244436223948,-1.17025788978138e-06
22,-3.87911370721094,6.55567151593616e-07,0.351025633381116,-1.41205059223458e-06
23,-4.77657237384104,1.40534976862103e-07,-1.44983649631294,-1.11960199884429e-06
