chr,intercept,totclen,secondmax,totclen:secondmax
1,-1.27153661267266,8.38894697430815e-08,-8.81291424608317,-7.11352635657918e-07
2,-1.92013727011056,1.02746506426608e-07,-8.3139783094377,-1.00482911436234e-06
3,-0.875838505678528,8.08363238655613e-08,-9.98771588886595,-6.85730931599026e-07
4,-0.676721728933176,6.48084549002126e-08,-9.29936038785685,-3.98142013345711e-07
5,-0.366495518456773,5.24928443181034e-08,-10.6430597187968,-1.8758430698626e-07
6,-0.495028375676677,7.92882039777139e-08,-10.0232942550723,-6.23669077149205e-07
7,-0.822413286942951,9.57994777581416e-08,-9.63675267790793,-4.94354079814998e-07
8,-1.84599102619596,1.12553283434921e-07,-8.7042068458724,-6.87864794164117e-07
9,-1.84433580991674,1.25894656436652e-07,-8.37554963163041,-8.4095886734422e-07
10,-1.00460500395974,1.13442900039669e-07,-8.40900036724961,-4.3338111829566e-07
11,-1.8569006669595,1.17763392576392e-07,-9.36796368214868,-9.03999698082492e-07
12,-2.78833048268573,1.30417546674271e-07,-7.89212265300524,-8.50059487032815e-07
13,-2.04206530062991,1.28545633850479e-07,-8.49442632071684,-6.50793657972743e-07
14,-6.65409514542978,1.80509924476568e-07,-5.1002641457599,-7.37226374492576e-07
15,-0.739168172116749,1.30108332473577e-07,-7.37380842753404,-3.42940519963736e-07
16,-1.37123943660933,2.67559646221924e-07,-5.79097237565926,-6.88181182337006e-07
17,-1.73191491744232,1.69782639497377e-07,-7.68193354897244,-3.62546489256127e-07
18,-2.72729292146814,2.51509375864507e-07,-7.37058973451413,-9.84185838097811e-07
19,-2.3686458526801,3.21785628225883e-07,-6.18381893710738,-9.89363787930013e-07
20,-2.27199139634237,2.59727672520444e-07,-7.74027616196144,-7.26828734073703e-07
21,-1.37374673956542,3.18202748916819e-07,-5.53581442008594,-4.21412978762601e-07
22,-3.74035385160047,4.45572154857665e-07,-4.80485194886574,-7.58814134498073e-07
23,-3.23214198221005,8.72534854677433e-08,-12.3190397746452,-5.62101771693207e-07
