chr,intercept,totclen,secondmax,totclen:secondmax
1,-3.55158381205168,9.72182545641728e-08,-2.86781166289117,-7.1802018387476e-07
2,-3.67135495792826,8.22954512406578e-08,-3.07330546143812,-5.02975259322436e-07
3,-3.78929048514823,1.15845889331099e-07,-2.73285775160635,-8.76328812939835e-07
4,-3.81002068821701,1.29714767660912e-07,-2.81261749790387,-1.0754591331515e-06
5,-3.26314308227647,9.77951322224636e-08,-3.38794660318289,-4.91906923474974e-07
6,-3.81306730411589,1.26225327306563e-07,-2.31392822714921,-7.20843311374623e-07
7,-3.86503260893418,1.81966142641955e-07,-2.19251376850527,-1.17715765783411e-06
8,-3.57368068160134,1.48043935812085e-07,-2.91995943738036,-9.85291034780404e-07
9,-3.93850514544392,2.42633205317191e-07,-2.3160726354637,-1.57542123905866e-06
10,-4.17033921290187,1.88590033159193e-07,-2.72114499011592,-7.59436102300508e-07
11,-3.78510891253223,1.88778681889562e-07,-2.42569821704043,-1.16431874641074e-06
12,-3.84591551276048,2.23439285031596e-07,-2.25824952585501,-1.87780548996946e-06
13,-4.55543458379644,2.60430672793321e-07,-1.73749264246233,-1.69528733464958e-06
14,-4.69172007048121,3.1267598964281e-07,-2.0895488458305,-1.70841233030825e-06
15,-5.43198697860629,4.47595437443663e-07,-1.68028571459859,-2.41433296778493e-06
16,-3.25100869772382,3.3252395329414e-07,-1.07261654935615,-1.06982723148022e-06
17,-3.31309159013977,2.99333428395742e-07,-1.57966696485443,-7.36674118094843e-07
18,-4.57855864456977,2.56303901900879e-07,-2.29483239056661,-1.11392164188334e-06
19,-5.13355399752078,4.1571161511368e-07,-1.17975964058363,-1.34295145906812e-06
20,-5.18438572838922,3.36496239323508e-07,-2.60053323002301,-1.08939463834104e-06
21,-6.55740413704632,4.53300086494836e-07,-0.771113530960293,-6.86160049057204e-07
22,-6.65755107998782,5.1951608561537e-07,0.00656268256556699,-6.77170372813872e-07
23,-3.43391382851223,1.48940486483706e-07,-2.7008677638528,-1.16850627023771e-06
