chr,intercept,totclen,secondmax,totclen:secondmax
1,-1.30577858425368,8.43830816838645e-08,-8.80152868828397,-7.13195367351198e-07
2,-2.02115206100635,1.04222239297779e-07,-8.0695215666531,-1.01415965121763e-06
3,-0.875039627396695,8.07947378836021e-08,-9.90972368604261,-6.86079847343526e-07
4,-0.676377974348505,6.48479645431401e-08,-9.34881516724636,-3.98251744277362e-07
5,-0.275639968442179,5.13201248238976e-08,-10.996700368678,-1.83042696972753e-07
6,-0.550006661388693,8.00188278185528e-08,-9.90047487962391,-6.25563961955876e-07
7,-1.02287271980093,9.94627881250191e-08,-9.03799964960224,-5.08372062649883e-07
8,-2.00109747659207,1.15233333889102e-07,-8.56766783454451,-6.96912161324693e-07
9,-1.76641442556435,1.24623908026893e-07,-8.6412626153886,-8.35432134652464e-07
10,-1.22648213000117,1.17962507350272e-07,-7.91832166426846,-4.44909366373545e-07
11,-2.09155447157892,1.21304229100146e-07,-8.60098997915432,-9.21978801123038e-07
12,-2.72045196144995,1.294085455982e-07,-8.16272936088137,-8.44916975595079e-07
13,-2.3131751078623,1.33011976179208e-07,-7.71752770048873,-6.64725427925375e-07
14,-6.61784072249887,1.79978416550359e-07,-5.13460469254806,-7.36230514808054e-07
15,-0.837383093594255,1.3252438393924e-07,-7.04395089887854,-3.50707141757768e-07
16,-1.21845371410136,2.61863594291623e-07,-6.2082643647962,-6.72193083097046e-07
17,-1.02052311723519,1.51562348127896e-07,-9.64079400569141,-3.13290010677429e-07
18,-3.02433140493084,2.59289848114677e-07,-6.70390446098078,-1.00630058664375e-06
19,-2.56736223776203,3.29102342714158e-07,-5.74680054277447,-1.00949308108745e-06
20,-2.01642287750452,2.51941389931375e-07,-8.34810302654685,-7.05892326807978e-07
21,-1.48768604643368,3.24370551660871e-07,-5.42946814353943,-4.27545605256569e-07
22,-3.06815024650992,4.17426588944916e-07,-6.48452041086707,-6.87748623497424e-07
23,-3.37030310222863,8.85773940481188e-08,-11.6305843571307,-5.68260292748099e-07
