chr,intercept,totclen,secondmax,totclen:secondmax
1,-4.26985072939213,9.03121017382394e-08,-3.92340169106486,-1.33901401691217e-06
2,-3.90668285490141,8.13194977624425e-08,-3.46281846472507,-1.21139698169229e-06
3,-4.15795212466821,1.16478880325343e-07,-2.79082976994519,-1.666931455699e-06
4,-3.87628838128191,1.0871672093504e-07,-2.80235571016069,-1.30157358050607e-06
5,-3.86394586827933,1.04792217685506e-07,-2.89874109882802,-1.01258995078703e-06
6,-3.87065445028297,1.31500633610575e-07,-2.91457517978818,-1.75742447327265e-06
7,-3.55071125503266,1.44936882288734e-07,-2.5868050326294,-1.37406917069951e-06
8,-3.60137076751681,1.20711568400404e-07,-2.65020542066022,-1.01468949475941e-06
9,-3.18020029890298,1.8046486526989e-07,-2.5319246300019,-1.32974564074256e-06
10,-3.75721105252055,1.39083265814117e-07,-2.71573733601315,-9.71301222621338e-07
11,-3.79502984714119,1.60897841925327e-07,-2.95530976485536,-1.58589213059311e-06
12,-4.01840031414577,1.75983696072737e-07,-2.42553680661408,-1.70845587623936e-06
13,-2.9693358451731,1.64873508859154e-07,-2.37794446032894,-1.01413960308002e-06
14,-3.10987612220062,1.95904991235213e-07,-2.02010077142647,-8.42493435527393e-07
15,-2.56787955327608,1.92100484865843e-07,-1.78999921868817,-7.00940030594221e-07
16,-3.50329333376435,2.5756087763223e-07,-1.84180508698659,-1.02814792696397e-06
17,-3.13566100979695,2.27467992053258e-07,-2.16046659537944,-7.80281358245946e-07
18,-3.75731433824768,3.00248373378804e-07,-2.0643898669204,-1.9241751601269e-06
19,-5.24881269965594,4.26403622886808e-07,-1.42180174255553,-1.9849273758855e-06
20,-4.57715416495785,3.7236015509619e-07,-2.03567632953446,-2.37655901891256e-06
21,-2.90244478122139,4.12742363254316e-07,-0.703175181904147,-1.00353638511617e-06
22,-2.15182828094766,3.66995909641382e-07,-0.332650491480876,-6.6137201316053e-07
23,-3.54595819903901,1.20061520546219e-07,-2.86204251999172,-1.26260752117853e-06
